date,close,equity
2020-01-02,1524.500000,10000.000000
2020-01-03,1549.199951,10000.000000
2020-01-06,1566.199951,10000.000000
2020-01-07,1571.800049,10000.000000
2020-01-08,1557.400024,10000.000000
2020-01-09,1551.699951,10000.000000
2020-01-10,1557.500000,10000.000000
2020-01-13,1548.400024,10000.000000
2020-01-14,1542.400024,10000.000000
2020-01-15,1552.099976,10000.000000
2020-01-16,1549.000000,10000.000000
2020-01-17,1558.800049,10000.000000
2020-01-21,1556.400024,10000.000000
2020-01-22,1555.300049,10000.000000
2020-01-23,1564.599976,10000.000000
2020-01-24,1571.099976,10000.000000
2020-01-27,1576.800049,10000.000000
2020-01-28,1569.199951,10000.000000
2020-01-29,1569.800049,10000.000000
2020-01-30,1583.500000,10000.000000
2020-01-31,1582.900024,10000.000000
2020-02-03,1577.199951,10000.000000
2020-02-04,1550.400024,10000.000000
2020-02-05,1557.800049,10000.000000
2020-02-06,1565.099976,10000.000000
2020-02-07,1568.599976,10000.000000
2020-02-10,1574.699951,10000.000000
2020-02-11,1565.599976,10000.000000
2020-02-12,1567.400024,10000.000000
2020-02-13,1575.099976,10000.000000
2020-02-14,1582.699951,10000.000000
2020-02-18,1600.000000,10000.000000
2020-02-19,1607.500000,10000.000000
2020-02-20,1616.599976,10000.000000
2020-02-21,1644.599976,10000.000000
2020-02-24,1672.400024,10000.000000
2020-02-25,1646.900024,10000.000000
2020-02-26,1640.000000,10000.000000
2020-02-27,1640.000000,10000.000000
2020-02-28,1564.099976,10000.000000
2020-03-02,1592.300049,10000.000000
2020-03-03,1642.099976,10000.000000
2020-03-04,1641.099976,10000.000000
2020-03-05,1666.400024,10000.000000
2020-03-06,1670.800049,10000.000000
2020-03-09,1674.500000,10000.000000
2020-03-10,1659.099976,10000.000000
2020-03-11,1641.400024,10000.000000
2020-03-12,1589.300049,10000.000000
2020-03-13,1515.699951,9995.000000
2020-03-16,1485.900024,9798.489953
2020-03-17,1524.900024,10055.668163
2020-03-18,1477.300049,9741.779022
2020-03-19,1478.599976,9750.351146
2020-03-20,1484.000000,9781.067617
2020-03-23,1567.000000,9781.067617
2020-03-24,1660.199951,9781.067617
2020-03-25,1632.300049,9781.067617
2020-03-26,1650.099976,9781.067617
2020-03-27,1623.900024,9781.067617
2020-03-30,1622.000000,9781.067617
2020-03-31,1583.400024,9781.067617
2020-04-01,1578.199951,9781.067617
2020-04-02,1625.699951,9781.067617
2020-04-03,1633.699951,9781.067617
2020-04-06,1677.000000,9781.067617
2020-04-07,1664.800049,9781.067617
2020-04-08,1665.400024,9781.067617
2020-04-09,1736.199951,9781.067617
2020-04-13,1744.800049,9781.067617
2020-04-14,1756.699951,9781.067617
2020-04-15,1727.199951,9781.067617
2020-04-16,1720.400024,9781.067617
