window,date,close,equity
1,demo-0251,1971.466090,10000.000000
1,demo-0252,1976.411698,10000.000000
1,demo-0253,1997.894113,10000.000000
1,demo-0254,2014.562047,10000.000000
1,demo-0255,2024.534474,10000.000000
1,demo-0256,2029.477015,10000.000000
1,demo-0257,2051.216686,10000.000000
1,demo-0258,2067.009062,10000.000000
1,demo-0259,2075.020558,10000.000000
1,demo-0260,2067.272280,10000.000000
1,demo-0261,2075.825332,10000.000000
1,demo-0262,2091.569581,10000.000000
1,demo-0263,2100.014379,10000.000000
1,demo-0264,2082.652357,10000.000000
1,demo-0265,2072.735019,10000.000000
1,demo-0266,2053.653806,10000.000000
1,demo-0267,2045.936866,10000.000000
1,demo-0268,2050.122224,10000.000000
1,demo-0269,2033.116702,10000.000000
1,demo-0270,2009.567839,10000.000000
1,demo-0271,2007.742962,10000.000000
1,demo-0272,2019.218812,10000.000000
1,demo-0273,2013.893105,10000.000000
1,demo-0274,2031.628809,10000.000000
1,demo-0275,2070.261659,10000.000000
1,demo-0276,2045.062228,10000.000000
1,demo-0277,2085.163342,10000.000000
1,demo-0278,2115.656049,10000.000000
1,demo-0279,2120.750009,10000.000000
1,demo-0280,2102.020056,10000.000000
1,demo-0281,2110.776352,10000.000000
1,demo-0282,2115.634759,10000.000000
1,demo-0283,2144.625908,10000.000000
1,demo-0284,2143.824728,10000.000000
1,demo-0285,2177.498333,10000.000000
1,demo-0286,2189.356843,10000.000000
1,demo-0287,2183.093177,10000.000000
1,demo-0288,2175.765129,10000.000000
1,demo-0289,2171.367371,10000.000000
1,demo-0290,2171.655420,10000.000000
1,demo-0291,2210.681682,10000.000000
1,demo-0292,2187.379743,10000.000000
1,demo-0293,2178.699105,10000.000000
1,demo-0294,2190.428171,10000.000000
1,demo-0295,2182.605172,10000.000000
1,demo-0296,2185.230673,10000.000000
1,demo-0297,2169.064261,10000.000000
1,demo-0298,2177.187800,10000.000000
1,demo-0299,2160.063193,10000.000000
1,demo-0300,2148.482905,10000.000000
1,demo-0301,2172.048410,10000.000000
1,demo-0302,2166.428628,10000.000000
1,demo-0303,2192.447361,10000.000000
1,demo-0304,2205.148798,9995.000000
1,demo-0305,2170.802933,9839.324827
1,demo-0306,2185.180942,9904.494214
1,demo-0307,2194.705281,9947.663987
1,demo-0308,2213.807140,10034.244574
1,demo-0309,2218.641582,10056.157039
1,demo-0310,2199.515227,9969.465425
1,demo-0311,2205.854572,9998.198973
1,demo-0312,2215.817715,10043.357654
1,demo-0313,2217.464616,10050.822357
1,demo-0314,2216.059971,10044.455697
1,demo-0315,2238.992128,10148.397395
1,demo-0316,2277.758744,10324.109951
1,demo-0317,2288.954894,10374.857325
1,demo-0318,2282.998397,10347.859064
1,demo-0319,2253.244869,10212.998997
1,demo-0320,2223.960803,10080.266803
1,demo-0321,2232.513794,10119.033866
1,demo-0322,2224.874096,10084.406371
1,demo-0323,2221.265127,10068.048455
1,demo-0324,2221.249587,10067.978016
1,demo-0325,2231.445092,10114.189898
1,demo-0326,2245.287570,10176.931950
1,demo-0327,2254.004470,10216.441945
1,demo-0328,2227.940766,10098.306278
1,demo-0329,2273.771109,10306.035698
1,demo-0330,2260.862106,10247.524687
1,demo-0331,2254.390061,10218.189664
1,demo-0332,2232.221073,10117.707090
1,demo-0333,2210.590726,10019.665942
1,demo-0334,2222.145892,10072.040585
1,demo-0335,2239.305061,10149.815788
1,demo-0336,2245.245595,10176.741697
1,demo-0337,2241.201424,10158.411193
1,demo-0338,2278.197591,10320.936007
1,demo-0339,2292.410447,10315.775539
1,demo-0340,2243.761776,10091.809608
1,demo-0341,2248.728658,10091.809608
1,demo-0342,2250.795497,10091.809608
1,demo-0343,2269.086350,10091.809608
1,demo-0344,2281.156180,10086.763703
1,demo-0345,2274.274145,10056.332877
1,demo-0346,2282.396207,10092.246825
1,demo-0347,2286.308378,10109.545571
1,demo-0348,2300.671905,10173.057883
1,demo-0349,2303.236114,10184.396243
1,demo-0350,2297.457013,10153.762929
2,demo-0351,2292.655149,10148.686047
2,demo-0352,2270.120048,10048.931985
2,demo-0353,2273.463300,10063.731251
2,demo-0354,2287.562833,10126.144360
2,demo-0355,2288.111070,10128.571192
2,demo-0356,2267.761249,10038.490507
2,demo-0357,2275.581854,10073.109261
2,demo-0358,2320.588762,10272.337208
2,demo-0359,2334.175553,10332.480609
2,demo-0360,2329.554035,10312.022956
2,demo-0361,2322.420777,10280.446818
2,demo-0362,2338.613562,10352.125932
2,demo-0363,2329.240220,10310.633824
2,demo-0364,2312.032467,10234.461842
2,demo-0365,2307.761697,10215.556815
2,demo-0366,2315.914962,10251.648124
2,demo-0367,2307.028411,10212.310844
2,demo-0368,2276.322731,10076.388833
2,demo-0369,2260.955478,10008.364024
2,demo-0370,2221.797961,9830.111526
2,demo-0371,2238.288109,9825.196470
2,demo-0372,2235.840005,9814.450263
2,demo-0373,2245.457290,9856.666332
2,demo-0374,2244.633169,9853.048765
2,demo-0375,2232.125063,9798.143146
2,demo-0376,2244.528142,9852.587740
2,demo-0377,2215.525610,9725.278132
2,demo-0378,2193.095469,9626.818717
2,demo-0379,2198.037380,9648.511744
2,demo-0380,2182.691353,9581.148775
2,demo-0381,2174.351283,9544.539177
2,demo-0382,2188.106838,9604.920608
2,demo-0383,2195.667079,9638.107064
2,demo-0384,2217.086108,9732.128099
2,demo-0385,2215.105198,9723.432691
2,demo-0386,2179.012243,9564.998946
2,demo-0387,2181.484961,9575.853196
2,demo-0388,2196.980790,9643.873733
2,demo-0389,2174.479994,9545.104168
2,demo-0390,2175.805011,9550.920468
2,demo-0391,2197.328027,9645.397968
2,demo-0392,2196.335039,9641.039143
2,demo-0393,2173.176000,9534.610465
2,demo-0394,2149.066079,9529.843159
2,demo-0395,2174.538032,9637.974882
2,demo-0396,2152.711800,9633.155895
2,demo-0397,2150.487454,9618.390579
2,demo-0398,2138.122628,9613.581384
2,demo-0399,2140.628215,9620.034763
2,demo-0400,2124.285299,9615.224746
2,demo-0401,2096.360553,9484.083605
2,demo-0402,2060.535723,9479.341563
2,demo-0403,2057.270139,9459.586329
2,demo-0404,2031.676817,9454.856536
2,demo-0405,2035.483073,9467.833502
2,demo-0406,2024.113758,9463.099585
2,demo-0407,1988.070129,9289.941775
2,demo-0408,1984.663480,9285.296804
2,demo-0409,1988.295887,9297.639965
2,demo-0410,2003.384523,9292.991145
2,demo-0411,2020.326897,9366.895028
2,demo-0412,1981.493399,9362.211580
2,demo-0413,1943.202472,9176.702966
2,demo-0414,1943.932922,9172.114615
2,demo-0415,1927.692558,9090.939492
2,demo-0416,1919.051481,9086.394023
2,demo-0417,1887.583205,8932.928200
2,demo-0418,1910.623507,8928.461736
2,demo-0419,1900.563390,8877.009461
2,demo-0420,1896.725001,8872.570956
2,demo-0421,1898.966124,8878.613038
2,demo-0422,1894.509743,8874.173731
2,demo-0423,1884.614257,8823.407849
2,demo-0424,1888.678246,8818.996145
2,demo-0425,1902.274807,8882.483943
2,demo-0426,1884.065458,8797.457191
2,demo-0427,1885.473533,8804.032058
2,demo-0428,1888.417339,8817.777866
2,demo-0429,1889.870482,8824.563175
2,demo-0430,1874.218125,8751.476043
2,demo-0431,1876.924439,8764.112905
2,demo-0432,1874.129957,8751.064351
